GT,all parts,SPVAE,5040,10240,20000,wings
0.425,0.407587558,0.400205523,0.407815367,0.423712611,0.434137672,0.352501988
0.885,0.579439044,0.763352513,0.787025332,0.798838854,0.776789069,0.565998852
0.756,0.643275023,0.674660325,0.619719446,0.638518095,0.617614865,0.460491657
0.177,0.276798278,0.238569975,0.331186116,0.305114686,0.326109916,0.352971464
0.074,0.140630171,0.098499283,0.128428444,0.140181482,0.123243913,0.183435977
0.436,0.426833361,0.419536471,0.451608628,0.448743641,0.461432576,0.421876609
0.24,0.23822391,0.242085367,0.257240951,0.228987575,0.246257201,0.263175011
0.778,0.654522777,0.686242461,0.682404518,0.695775449,0.690010071,0.686782241
0.142,0.23253864,0.23121728,0.269681603,0.267941087,0.264794767,0.364893258
0.348,0.312354892,0.354943335,0.346946478,0.373920798,0.339272559,0.325613618
0.043,0.256175965,0.193821728,0.286148489,0.306517303,0.328101218,0.325551957
0.895,0.780799747,0.798892677,0.798188508,0.789456606,0.767961681,0.796983063
0.256,0.231260464,0.278764278,0.266714722,0.255981624,0.25160414,0.291968495
0.552,0.466082603,0.485799015,0.3956379,0.419267714,0.418676972,0.376345485
0.792,0.722744226,0.750136256,0.719239116,0.746654034,0.712241054,0.766256988
0.467,0.464065373,0.439561069,0.487614661,0.482047319,0.478608549,0.405816466
0.709,0.650469422,0.657613158,0.639221728,0.656541586,0.661944211,0.576494932
0.475,0.494226456,0.449620038,0.480791539,0.47983259,0.495834887,0.472690552
0.052,0.155383542,0.090929225,0.121918276,0.123843357,0.123721197,0.188971981
0.254,0.244922161,0.257289261,0.257279217,0.264295906,0.257057697,0.212529957
0.646,0.596285045,0.603244007,0.540756822,0.555276394,0.5293594,0.608405471
0.328,0.279958367,0.328717947,0.3122181,0.307473004,0.300402671,0.263267428
0.607,0.591390252,0.604424834,0.54669255,0.521576345,0.495732069,0.556967497
0.25,0.297733873,0.297337562,0.367832154,0.346180975,0.382749528,0.404371887
0.569,0.520279348,0.53840673,0.532468736,0.534089267,0.536491156,0.475772709
0.433,0.367198259,0.398093104,0.39318639,0.387049317,0.380623162,0.380118906
0.862,0.661211193,0.746276796,0.737662256,0.735634208,0.719474852,0.640808105
0.059,0.156526476,0.104214668,0.148928285,0.147424042,0.155760497,0.158984601
0.301,0.229705304,0.271862745,0.231728584,0.238946855,0.241410106,0.189463437
0.554,0.519596219,0.545883834,0.544107616,0.544290185,0.556568742,0.353598416
0.526,0.405942947,0.48497653,0.486392349,0.456884921,0.4852615,0.396108031
0.177,0.234966531,0.232568264,0.225441679,0.220291108,0.22296758,0.323533624
0.082,0.208188325,0.170040309,0.172184348,0.161022544,0.176915318,0.229837283
0.458,0.470483422,0.456383765,0.437953055,0.438443899,0.446358919,0.45417881
0.302,0.257607311,0.301892459,0.260203153,0.252377152,0.257121205,0.259500057
0.026,0.106214754,0.125516102,0.138605922,0.129352778,0.132852614,0.192149833
0.411,0.343562424,0.36559543,0.364038438,0.365917742,0.382778764,0.315906793
0.304,0.330623627,0.302152336,0.320637286,0.305188417,0.320668489,0.288531244
0.182,0.258046567,0.221095473,0.247261852,0.2489907,0.24701193,0.248973608
0.337,0.332411081,0.331748664,0.343288958,0.338167697,0.334678292,0.354539961
0.286,0.317434192,0.305061549,0.295016527,0.309553832,0.304663509,0.314983308
0.295,0.280964166,0.286448628,0.268782407,0.280280471,0.279637814,0.331199914
0.322,0.342606127,0.327274621,0.374827564,0.370525986,0.371979266,0.404707313
0.078,0.201616317,0.153093278,0.16092968,0.137728482,0.143906608,0.227103785
0.568,0.558648229,0.535948455,0.549615443,0.551947534,0.545808315,0.533095837
0.158,0.280691266,0.233498514,0.313500166,0.303130418,0.337009609,0.3714647
0.35,0.3398256,0.366576105,0.38580811,0.390204072,0.391736925,0.348065376
0.12,0.205971554,0.156902,0.183241874,0.156663686,0.190152317,0.231880993
0.095,0.170902416,0.153677374,0.142558485,0.126502484,0.135738894,0.161626935
0.098,0.143768519,0.135784417,0.123494975,0.105247818,0.11063391,0.189673513
0.532,0.53057009,0.507529974,0.443840057,0.449445903,0.457840383,0.438649863
0.299,0.32141003,0.296446651,0.318397075,0.310531735,0.306352943,0.302978456
0.037,0.155300468,0.113157362,0.078875504,0.094349958,0.112348974,0.158661798
0.39,0.403187245,0.387971014,0.415819108,0.391782761,0.399427384,0.38142699
0.383,0.344839454,0.370436549,0.383273125,0.377383173,0.385503203,0.350457609
0.418,0.386390716,0.398959398,0.360348016,0.351776928,0.358419895,0.420364112
0.587,0.571264446,0.53762877,0.528044105,0.525450051,0.526907444,0.530284941
0.322,0.320667446,0.324859262,0.348178625,0.351324588,0.35078755,0.305305183
0.172,0.207816154,0.188648716,0.210309938,0.209823519,0.19727689,0.178308904
0.325,0.347518086,0.328422785,0.325513899,0.346982896,0.341031313,0.373565525
0.365,0.387183189,0.395755291,0.415099472,0.406781077,0.425542653,0.383644521
0.137,0.172413379,0.18157427,0.158282295,0.163921207,0.16753681,0.190405354
0.393,0.386293203,0.383304656,0.369901359,0.370857,0.392332137,0.378474593
0.556,0.5521034,0.551748872,0.577472687,0.563812852,0.566822529,0.54189992
0.264,0.246410504,0.26224041,0.254710972,0.220143497,0.21967788,0.220279306
0.238,0.229984149,0.252589673,0.247987539,0.234812811,0.239868119,0.268600374
0.414,0.393817097,0.41914171,0.390711367,0.395797729,0.407830507,0.3889094
0.944,0.79971391,0.839475095,0.84445709,0.846186996,0.844725609,0.798211873
0.16,0.237723723,0.222120881,0.179323778,0.207152605,0.194555685,0.315782011
0.534,0.493626446,0.504474103,0.487279236,0.493174493,0.498888195,0.475644559
0.576,0.498446196,0.532541931,0.521330535,0.529636443,0.539339542,0.538717866
0.192,0.215624943,0.236775085,0.22596398,0.237184018,0.236405432,0.25066933
0.239,0.320797443,0.303083301,0.354635566,0.330322564,0.311432898,0.456180215
0.012,0.287850827,0.104676232,0.131056085,0.143771797,0.162510186,0.311066002
0.284,0.266116381,0.295268804,0.257611185,0.261891186,0.282568663,0.285733908
0.226,0.256330222,0.245345488,0.272654563,0.265110731,0.277285397,0.349551916
0.224,0.163822457,0.24394922,0.176826656,0.166334316,0.164711267,0.174626753
0.323,0.288442701,0.321565032,0.280403644,0.285773307,0.29798308,0.294071972
0.384,0.387414604,0.400545329,0.394857287,0.409279734,0.398104697,0.412624568
0.203,0.215445191,0.227920786,0.241007298,0.244642228,0.24512732,0.259491444
0.334,0.326866925,0.332808852,0.302655697,0.332949668,0.315456033,0.311578631
0.188,0.196837097,0.245124057,0.227732092,0.219765618,0.224250197,0.199602902
0.131,0.191268191,0.159211069,0.159125775,0.166382819,0.148712263,0.1678949
0.002,0.170376137,0.090432428,0.040058997,0.050061509,0.04993004,0.138519362
0.579,0.600465596,0.573683858,0.564537406,0.609543443,0.577509999,0.637211084
0.982,0.819127917,0.84683305,0.872475505,0.89332819,0.874420643,0.821369827
0.269,0.288013279,0.28782925,0.283903688,0.284136534,0.285868824,0.308923692
0.269,0.271355748,0.286413819,0.263520747,0.277514666,0.268188357,0.280455768
0.478,0.495516747,0.43697226,0.442863256,0.446316183,0.426750809,0.450362802
0.412,0.383452684,0.410464019,0.390720576,0.385530502,0.398664474,0.426704794
0.202,0.216075152,0.253980517,0.242380619,0.221047968,0.23205328,0.21707356
0.507,0.579646707,0.484757274,0.532287836,0.554667115,0.545103014,0.611410201
0.547,0.547481716,0.497893065,0.516111732,0.498922825,0.516701102,0.543915331
0.546,0.510972321,0.49538967,0.529741049,0.527359724,0.53873539,0.469792038
0.265,0.292930186,0.289073825,0.307404816,0.309846103,0.302055001,0.310313582
0.192,0.190895781,0.183411136,0.195400357,0.185196012,0.185397968,0.187107012
0.379,0.313282937,0.363858759,0.298721761,0.323393643,0.292973697,0.312957883
0.251,0.261335254,0.263764799,0.27917105,0.27603811,0.274750173,0.283136368
0.791,0.626522303,0.710918128,0.66513437,0.643654823,0.643500805,0.65672183
0.396,0.38401112,0.395497531,0.415424019,0.436767161,0.430660009,0.399127722
0.276,0.305033952,0.272424072,0.296363115,0.282218933,0.297336698,0.21152997
0.484,0.51349467,0.454668522,0.435206771,0.417076111,0.419254571,0.546879768
0.405,0.379887432,0.409741491,0.411202282,0.421309173,0.409844398,0.464285374
0.191,0.232595071,0.218751207,0.293494463,0.273111403,0.309494674,0.233192518
0.381,0.299157679,0.354534417,0.311052293,0.314653367,0.301228106,0.322260648
0.669,0.644162476,0.621541739,0.650025964,0.662626624,0.660484314,0.639419436
0.727,0.711458206,0.686617792,0.730281293,0.717580199,0.725310683,0.708875
0.063,0.159584373,0.122681618,0.129896343,0.121462107,0.127983093,0.207935721
0.708,0.612923443,0.623435795,0.639658689,0.641512334,0.638847411,0.651014686
0.163,0.278044939,0.228915021,0.160920978,0.166288048,0.172888368,0.285534859
0.824,0.755770504,0.751011848,0.783653736,0.794167161,0.792452514,0.722904205
0.14,0.247438744,0.196832538,0.191924542,0.184237868,0.19627665,0.32764405
0.393,0.36595583,0.398513675,0.336217791,0.332249045,0.342845649,0.376978815
0.158,0.187175572,0.186718524,0.167511404,0.149460152,0.167039245,0.178099841
0.822,0.713904977,0.759024262,0.736976683,0.75525713,0.741029322,0.722489595
0.855,0.774030447,0.770088375,0.840832293,0.854248881,0.823472083,0.774040043
0.383,0.36481753,0.390860409,0.324065834,0.314970791,0.300126612,0.36365816
0.293,0.323689133,0.30349493,0.33715567,0.317462504,0.337333262,0.321944863
0.483,0.424955636,0.447086781,0.42590946,0.422538936,0.428760946,0.449798375
0.039,0.114286393,0.107001051,0.129331067,0.130818471,0.129973873,0.165958017
0.237,0.274386108,0.282890171,0.29102689,0.311392158,0.298008829,0.403301001
0.039,0.1696769,0.127354294,0.175518066,0.142988592,0.169874266,0.241333693
0.251,0.293252349,0.308444291,0.327277243,0.338237286,0.336529732,0.299174488
0.256,0.263044417,0.268483192,0.26516816,0.276503831,0.268602878,0.280584693
0.639,0.575459301,0.613273978,0.585282505,0.610620201,0.601056635,0.538340569
0.586,0.550951302,0.552950382,0.537402987,0.528495967,0.551596701,0.484372318
0.548,0.519710481,0.51264143,0.4680323,0.510317087,0.497626126,0.367332608
0.141,0.174679905,0.163775504,0.178080335,0.20684877,0.203645259,0.206609517
0.04,0.13931106,0.112526298,0.155291483,0.149172425,0.157782793,0.252859473
0.406,0.400169849,0.413734496,0.423061997,0.423257798,0.433186352,0.386529833
0.623,0.588265717,0.60700798,0.608912468,0.585773587,0.579074681,0.561443627
0.337,0.299215019,0.311876893,0.365807146,0.366065145,0.338100314,0.333159447
0.184,0.189275444,0.183289513,0.169707775,0.183948696,0.175868422,0.198287174
0.047,0.163697913,0.110806383,0.113251463,0.104849696,0.108571559,0.157078505
0.512,0.482610375,0.504705906,0.478641987,0.494997203,0.493235737,0.449763387
0.157,0.210588351,0.196310118,0.180596367,0.184554905,0.18322885,0.186377957
0.154,0.20217444,0.183167681,0.204742461,0.201961845,0.209863573,0.180189952
0.475,0.485052168,0.449636281,0.452522486,0.434946209,0.452973068,0.434865683
0.228,0.258160204,0.243428856,0.258012742,0.249011129,0.255728722,0.289265484
0.78,0.672499359,0.703739464,0.677001536,0.696760118,0.68553561,0.665968299
0.467,0.504353821,0.475713342,0.46503818,0.463831246,0.484218776,0.463017762
0.547,0.530332804,0.528057337,0.545163035,0.533255517,0.536294878,0.570965588
0.807,0.554861486,0.702518344,0.687238216,0.718930364,0.695929885,0.458111614
0.485,0.524642825,0.491772652,0.49692136,0.48241365,0.476008236,0.576244295
0.302,0.324134707,0.31206283,0.294963479,0.303799659,0.295485228,0.340140015
0.421,0.364589512,0.39953208,0.40682435,0.417464077,0.417835623,0.347411662
0.323,0.311101407,0.3431032,0.310994565,0.324712425,0.316207647,0.309130371
0.065,0.144395217,0.128777534,0.116263598,0.113575682,0.11109715,0.16777505
0.444,0.49286592,0.45465821,0.437055349,0.432434171,0.443520784,0.495662749
0.254,0.269008517,0.263124794,0.250393957,0.253995866,0.247221842,0.318515331
0.275,0.298198998,0.30482462,0.305569351,0.295000106,0.311264217,0.294469923
0.46,0.360895693,0.42499733,0.372605473,0.379945636,0.358813286,0.36493209
0.67,0.589389086,0.613997459,0.653679371,0.645636261,0.662791431,0.549983263
0.032,0.122023918,0.105213284,0.091430262,0.095459193,0.081800565,0.163358301
0.542,0.551596224,0.472700715,0.487862855,0.478871047,0.477892816,0.48016417
0.166,0.177030846,0.209876269,0.171750054,0.1680011,0.182332307,0.202764168
0.315,0.308900833,0.315635741,0.297210693,0.303173214,0.294994295,0.293756962
0.631,0.55507952,0.565392792,0.582338929,0.557259202,0.579290271,0.503717601
0.264,0.247001484,0.278972208,0.261671484,0.27438271,0.256170928,0.224479079
0.302,0.314587742,0.319889694,0.345799297,0.36162746,0.369572878,0.359236658
0.155,0.265426993,0.203056678,0.21901831,0.220201507,0.210748583,0.292839617
0.026,0.141584605,0.095136173,0.132279053,0.098885745,0.118643604,0.149712309
0.729,0.647634625,0.653245747,0.698427737,0.698941588,0.702271819,0.561695397
0.183,0.292190015,0.247097895,0.279881656,0.264817327,0.279536456,0.247729301
0.776,0.627807796,0.667650461,0.696731627,0.697671652,0.672430515,0.665950954
0.506,0.378244787,0.484000474,0.473990202,0.46094048,0.46298942,0.435296476
0.076,0.125609785,0.131429896,0.093035571,0.094846629,0.098117486,0.134850487
0.545,0.540798008,0.528629243,0.512769997,0.504217863,0.494492114,0.492531776
0.134,0.197323412,0.187744603,0.184814289,0.182554975,0.197800457,0.249095261
0.532,0.532922864,0.525083482,0.548167944,0.553429723,0.565159976,0.442066491
0.042,0.123347796,0.134267941,0.077231728,0.080123194,0.088183299,0.11853303
0.073,0.186712533,0.121644795,0.120838463,0.10734465,0.123444587,0.199586496
0.898,0.801872253,0.82807374,0.860984683,0.880274296,0.863435805,0.781264424
0.699,0.678736985,0.670118809,0.659635961,0.669031978,0.670250654,0.660567522
0.838,0.683595181,0.745264828,0.749046981,0.757848978,0.738653719,0.532783091
0.526,0.50499177,0.475300014,0.43106702,0.431634486,0.434551358,0.465323091
0.284,0.262649536,0.289987743,0.231094599,0.23255071,0.232719749,0.279517353
0.37,0.37942481,0.3729617,0.393205404,0.385367036,0.400446832,0.391526401
0.07,0.189369291,0.124156468,0.133125901,0.12965633,0.149131566,0.16317831
0.265,0.348605871,0.294341445,0.273527473,0.263032794,0.282154679,0.310079008
0.729,0.56014663,0.624296606,0.59667784,0.614168167,0.629223108,0.563126802
0.121,0.187707156,0.190673828,0.199884519,0.187132597,0.185465813,0.274882108
0.435,0.457939118,0.42718944,0.476950258,0.4555161,0.490842044,0.486030519
0.199,0.253130883,0.221959546,0.238605052,0.224584132,0.233876795,0.259811103
0.626,0.605102241,0.611034751,0.628950059,0.616615295,0.640498698,0.567723334
0.287,0.301454812,0.311879277,0.274275899,0.255044818,0.28931579,0.313959122
0.306,0.324509948,0.340531588,0.330400139,0.324610412,0.328225583,0.369946629
0.666,0.641341448,0.586447537,0.559547007,0.536625922,0.53490299,0.512359023
0.09,0.192334726,0.15130502,0.181901053,0.163787603,0.176710859,0.193427473
0.334,0.356548816,0.365631819,0.34908542,0.345608532,0.343214601,0.326616347
0.586,0.565274179,0.548054278,0.550946593,0.554445684,0.558910251,0.58621484
0.728,0.565244555,0.6457178,0.592766285,0.604181409,0.589315593,0.33807528
0.07,0.140660286,0.100624733,0.121611632,0.118828282,0.124544196,0.153777793
0.054,0.147364616,0.107735716,0.10560748,0.099863805,0.097451419,0.108568892
0.367,0.412545949,0.392833889,0.379060924,0.38309145,0.3686257,0.459543616
0.701,0.607547224,0.63030225,0.616388023,0.615392148,0.598371685,0.562621176
0.072,0.17104058,0.156216964,0.175886646,0.134599715,0.152362227,0.278657407
0.778,0.678256869,0.695480108,0.677673221,0.678295016,0.69074589,0.687172353
0.247,0.264308333,0.264649868,0.263858318,0.270229816,0.260638446,0.355668187
0.352,0.288528472,0.329794705,0.366283178,0.354898244,0.347089022,0.312513351
0.267,0.320117652,0.319416612,0.366952032,0.345554888,0.36659047,0.37571454
0.097,0.144686535,0.129471719,0.197605014,0.180033833,0.192639381,0.163442731
0.127,0.174093768,0.182831228,0.206458151,0.238752231,0.199604034,0.22663942
0.22,0.356954306,0.266051203,0.259228021,0.26318714,0.251598477,0.390072584
0.13,0.154071674,0.150700271,0.167924359,0.148204684,0.145798162,0.16300866
0.232,0.253997952,0.264759541,0.277717739,0.257490128,0.261896282,0.309799522
0.665,0.668370664,0.649224401,0.649759412,0.644381881,0.640705585,0.687218726
0.353,0.358221471,0.342301697,0.363581002,0.341802448,0.351133615,0.376875252
0.464,0.486556977,0.431300372,0.482149422,0.454148769,0.470755875,0.476838946
0.394,0.392175227,0.361164093,0.374520451,0.35975039,0.360629141,0.379523128
0.409,0.376869142,0.397691667,0.345308661,0.348198414,0.33689785,0.361195385
0.58,0.534160852,0.481898159,0.50656569,0.495524943,0.49514997,0.446496248
0.965,0.789765358,0.83518517,0.82748878,0.833721757,0.804790974,0.798690498
0.139,0.227870643,0.202680618,0.201885134,0.199407563,0.196054906,0.226710394
0.532,0.569476902,0.539884746,0.545490026,0.555602551,0.553805828,0.51924783
0.664,0.61226815,0.637332618,0.634346902,0.633060515,0.622699618,0.63198334
0.384,0.413947165,0.402721405,0.372450471,0.35745132,0.368301183,0.405947149
0.417,0.417280734,0.41421771,0.428462267,0.417394817,0.421955317,0.423144281
0.132,0.189522386,0.162977427,0.14750354,0.161225021,0.158733085,0.172316134
0.586,0.586823821,0.574907064,0.590144992,0.581825733,0.604505122,0.575062871
0.175,0.232173368,0.22701773,0.222028017,0.220846087,0.227154672,0.242841989
0.057,0.157448381,0.109548032,0.116111428,0.11781548,0.128237188,0.134403706
0.714,0.689017475,0.669368982,0.683068037,0.683516383,0.670128763,0.713734806
0.138,0.151936486,0.186909333,0.163838238,0.174856141,0.170404911,0.156432942
0.311,0.302729368,0.307249844,0.293673486,0.320074379,0.310059816,0.341818839
0.274,0.322772503,0.305092871,0.323497355,0.3259027,0.31105718,0.379510969
0.23,0.218979135,0.239980355,0.221491829,0.201135322,0.209632218,0.210278228
0.854,0.654257953,0.72081691,0.687280893,0.71767658,0.701602757,0.560229123
0.084,0.155406937,0.121622205,0.108926259,0.100609988,0.11461921,0.180911124
0.055,0.136992052,0.102991372,0.117796369,0.126370683,0.113399722,0.147943735
0.384,0.40293023,0.387298465,0.388339698,0.41057995,0.388994962,0.360042542
0.586,0.520911753,0.532604516,0.562061131,0.553322613,0.543528438,0.45645541
0.587,0.541376352,0.547449112,0.580188811,0.582100213,0.573433459,0.522168159
0.081,0.140570357,0.111622423,0.147045225,0.149211735,0.139440194,0.148638442
0.098,0.167874575,0.140939295,0.151287228,0.14117305,0.142569184,0.16234605
0.047,0.134375304,0.112458356,0.107562438,0.111548826,0.112369284,0.133677363
0.817,0.733020127,0.744072497,0.709866762,0.73758775,0.72022903,0.758620322
0.508,0.519792855,0.469209015,0.434306562,0.44080174,0.449752212,0.394518852
0.057,0.150941566,0.1286387,0.165754095,0.171699896,0.198315978,0.261619031
0.642,0.598582447,0.605257452,0.587531209,0.601035416,0.595895767,0.568172693
0.452,0.470251828,0.43811208,0.406682551,0.396464348,0.405207992,0.460515648
0.843,0.711382508,0.740936995,0.719297588,0.710207343,0.705900311,0.64850384
0.67,0.617268741,0.611264884,0.631065428,0.619199395,0.63087213,0.608209372
0.052,0.144607738,0.140211016,0.121331215,0.121244095,0.109325066,0.160071522
0.399,0.419592857,0.383528888,0.43278861,0.434052408,0.429478407,0.489262849
0.616,0.587334096,0.591050744,0.598362744,0.592987061,0.598546565,0.53001368
0.205,0.245593593,0.228968784,0.242676869,0.223771632,0.250018299,0.274083823
0.191,0.199712262,0.227481693,0.233724415,0.212018073,0.224491805,0.229568094
0.417,0.544393837,0.486397445,0.591208577,0.588712811,0.604799271,0.619458675
0.314,0.261312872,0.312845767,0.211387441,0.209963143,0.214684963,0.222107068
0.24,0.289218545,0.274823129,0.308071017,0.284850299,0.317415744,0.326994061
0.226,0.244681597,0.240243763,0.244213134,0.24783501,0.233185142,0.254872441
0.452,0.486052662,0.455166698,0.480140448,0.46207726,0.470068097,0.460702449
0.063,0.132278323,0.112563297,0.113555752,0.12471731,0.110844418,0.140242323
0.887,0.613116622,0.69503969,0.673020959,0.707682014,0.67603159,0.579766631
0.154,0.205317304,0.224690378,0.247342885,0.258228302,0.256907374,0.252780467
0.035,0.152399808,0.096805945,0.066242859,0.081207231,0.08138302,0.108776398
0.067,0.240375116,0.134366125,0.160977557,0.159966111,0.170968935,0.247298151
0.147,0.316064447,0.241203457,0.285844445,0.295332879,0.297974408,0.416729212
0.339,0.299081266,0.32564503,0.304674923,0.298375666,0.301136643,0.29006508
0.361,0.349137336,0.352848053,0.385736048,0.360464752,0.354797006,0.339702964
0.145,0.188201964,0.172542781,0.209949717,0.168756962,0.172565028,0.187606424
0.591,0.569441736,0.569138587,0.593183458,0.590262353,0.593865752,0.574502826
0.185,0.220009983,0.220675439,0.198011965,0.184944019,0.182732657,0.217573866
0.486,0.496126473,0.465853244,0.432581723,0.4179461,0.423342675,0.438688397
0.094,0.203876138,0.156285807,0.145115718,0.137360364,0.148266748,0.194567472
0.134,0.18780838,0.170836344,0.197727144,0.199307114,0.198083848,0.208738476
0.191,0.23573865,0.239901185,0.232945964,0.240281224,0.239257395,0.29328987
0.408,0.415335119,0.401635379,0.435810387,0.427971482,0.445544541,0.415398955
0.339,0.310863376,0.331800252,0.333331764,0.331840158,0.330324173,0.319850475
0.641,0.576255679,0.549733043,0.516443074,0.50376904,0.488928139,0.441553026
0.109,0.168416157,0.148525909,0.135396093,0.153640121,0.149517238,0.14575246
0.147,0.176068082,0.182201609,0.20159243,0.19018805,0.215364665,0.186758861
0.211,0.205258101,0.23692131,0.199716687,0.214387491,0.194786847,0.229967505
0.724,0.616503298,0.642474532,0.653030515,0.666826963,0.65263629,0.680428922
0.431,0.389651775,0.425449699,0.410217643,0.414723217,0.4065516,0.333632439
0.614,0.511948824,0.570618451,0.555999756,0.555213153,0.55465275,0.581378043
0.293,0.275867134,0.306243777,0.290170312,0.273848474,0.27448082,0.267742813
0.511,0.380659163,0.482407004,0.478307933,0.478594482,0.483304501,0.402277023
0.738,0.627599478,0.668918073,0.653587878,0.682658672,0.650744259,0.635459185
0.334,0.300291687,0.313135743,0.271259338,0.296436399,0.278899908,0.314303637
0.328,0.314632744,0.31824407,0.274312794,0.272602379,0.283233732,0.339949876
0.497,0.519337356,0.460435539,0.461817682,0.466611028,0.46628499,0.469830543
0.264,0.292526364,0.285554111,0.249983102,0.252525508,0.261402994,0.311412871
0.459,0.490437984,0.447530478,0.498152673,0.483814836,0.490700006,0.482050031
0.652,0.610136628,0.629698753,0.559426248,0.607417643,0.593952596,0.518251121
0.395,0.406197071,0.392205775,0.440445065,0.434609652,0.432050049,0.437637657
0.38,0.394833118,0.390047222,0.38454026,0.37204057,0.367193162,0.432390392
0.387,0.379716158,0.374084681,0.443832099,0.404393405,0.437237203,0.39510262
0.225,0.232503563,0.24675703,0.236098498,0.2287907,0.213859499,0.241038933
0.558,0.486694515,0.496184349,0.520065606,0.507888317,0.522866964,0.480501682
0.561,0.562116623,0.551915407,0.558958471,0.536058128,0.549766183,0.54181546
0.425,0.443231404,0.424117535,0.439501017,0.450384915,0.455756187,0.430250585
0.443,0.414540738,0.400951535,0.37518236,0.381962717,0.389245868,0.406677783
0.4,0.34465313,0.394950151,0.359089762,0.358538449,0.351041973,0.336575866
0.637,0.590084791,0.595249236,0.615825295,0.605339468,0.631966054,0.540534914
0.257,0.275417119,0.290933937,0.228828579,0.251505107,0.243670821,0.294821441
0.154,0.196404815,0.19270049,0.248512357,0.194384009,0.210454494,0.270264655
0.444,0.454011828,0.456088662,0.44471997,0.451194584,0.456464171,0.423692584
0.502,0.521345973,0.508997083,0.51439923,0.523061693,0.522079468,0.551551223
0.103,0.18968758,0.186362758,0.163939178,0.166410834,0.172233179,0.1664204
0.306,0.391779542,0.344780058,0.432301491,0.433075011,0.429402947,0.516485274
0.082,0.138530284,0.135826483,0.080933109,0.088461131,0.0925209,0.137295127
0.69,0.599226534,0.619438469,0.595934808,0.589083433,0.602524757,0.563762784
0.428,0.411783695,0.390913099,0.374147475,0.386027753,0.360530853,0.420072943
0.429,0.452613056,0.406589925,0.453444719,0.444382936,0.464204311,0.429642141
0.447,0.406794339,0.407005101,0.392409444,0.393622816,0.399187863,0.339989245
0.443,0.460822791,0.428710103,0.486808509,0.469067007,0.481194705,0.461746007
0.188,0.177129567,0.237476364,0.187861502,0.201629043,0.204212442,0.189597026
0.205,0.255021125,0.228170022,0.220704526,0.215978906,0.221104681,0.225984022
