GT,SPVAE,body,all parts,5040,10240,20000
0.375,3.96E-01,3.86E-01,3.84E-01,0.386966735,0.382496893,0.383845687
0.374,3.86E-01,3.85E-01,3.88E-01,0.380989015,0.382728934,0.391135275
0.435,4.37E-01,4.20E-01,4.23E-01,0.415711403,0.430716753,0.434754312
0.437,4.14E-01,4.12E-01,4.10E-01,0.424655735,0.413995028,0.423079014
0.367,3.80E-01,3.80E-01,3.79E-01,0.383053899,0.374431968,0.374257147
0.36,3.82E-01,3.91E-01,3.75E-01,0.372742057,0.372757047,0.374287605
0.456,4.47E-01,4.31E-01,4.51E-01,0.453505695,0.459346265,0.45620054
0.386,3.93E-01,3.93E-01,3.87E-01,0.381361872,0.380594313,0.379941374
0.345,4.27E-01,3.62E-01,3.83E-01,0.350216061,0.351779103,0.354386598
0.345,3.75E-01,3.72E-01,3.79E-01,0.352123767,0.348871857,0.350612581
0.341,3.91E-01,3.62E-01,3.66E-01,0.362252593,0.35695675,0.349887162
0.55,4.36E-01,4.56E-01,4.94E-01,0.501466215,0.505135238,0.504874706
0.48,4.08E-01,4.35E-01,4.28E-01,0.482575208,0.483745128,0.489589572
0.371,3.96E-01,3.76E-01,3.82E-01,0.389425606,0.324802488,0.397945046
0.427,4.19E-01,4.13E-01,4.09E-01,0.428543746,0.421432078,0.425943792
0.478,4.22E-01,4.44E-01,4.49E-01,0.481465995,0.482335985,0.486844897
0.294,3.44E-01,3.43E-01,3.35E-01,0.326097846,0.325347364,0.331421614
0.411,4.12E-01,4.10E-01,4.12E-01,0.409854621,0.417654574,0.41117686
0.538,4.17E-01,4.62E-01,4.78E-01,0.513081431,0.510344386,0.52727592
0.356,3.94E-01,3.76E-01,3.70E-01,0.372208327,0.358096689,0.35246712
0.429,4.09E-01,4.22E-01,4.22E-01,0.432961702,0.417474985,0.422505021
0.478,4.04E-01,4.33E-01,4.50E-01,0.474561393,0.479601681,0.475906998
0.317,3.70E-01,3.85E-01,3.51E-01,0.349976808,0.342864186,0.344364583
0.439,4.27E-01,4.35E-01,4.26E-01,0.440746367,0.438282341,0.448467851
0.418,3.94E-01,3.86E-01,4.14E-01,0.406480968,0.406596154,0.411482036
0.423,3.99E-01,4.22E-01,4.19E-01,0.43094191,0.427224308,0.428222895
0.377,3.96E-01,3.74E-01,3.84E-01,0.378097445,0.377529085,0.379194558
0.418,4.09E-01,4.13E-01,4.20E-01,0.426790237,0.414489269,0.415831864
0.322,3.57E-01,3.49E-01,3.44E-01,0.351056963,0.343062818,0.338499963
0.355,3.62E-01,3.56E-01,3.61E-01,0.351745158,0.34043026,0.339725316
0.489,4.05E-01,4.19E-01,4.25E-01,0.425180972,0.460814178,0.463237464
0.42,4.26E-01,4.22E-01,4.16E-01,0.427049398,0.425560087,0.423530281
0.51,4.18E-01,4.66E-01,4.70E-01,0.492348611,0.494803578,0.502234876
0.453,4.00E-01,4.35E-01,4.41E-01,0.460562378,0.449810386,0.458544433
0.362,3.53E-01,3.70E-01,3.66E-01,0.371628761,0.366651893,0.367468357
0.375,3.82E-01,3.76E-01,3.81E-01,0.380847514,0.374616265,0.376215667
0.408,4.10E-01,3.85E-01,4.14E-01,0.407318205,0.416350871,0.408215046
0.513,3.88E-01,4.58E-01,4.71E-01,0.506860614,0.512034178,0.506707251
0.315,3.65E-01,3.72E-01,3.72E-01,0.349493682,0.337723255,0.344867647
0.333,3.66E-01,3.47E-01,3.66E-01,0.342241049,0.340234101,0.337181926
0.571,3.72E-01,4.84E-01,4.55E-01,0.520900667,0.531819463,0.537007689
0.375,3.81E-01,3.89E-01,3.81E-01,0.379366994,0.378107369,0.381890416
0.33,3.66E-01,3.66E-01,3.53E-01,0.340656042,0.342983067,0.342002571
0.298,3.85E-01,3.73E-01,3.37E-01,0.334357142,0.330098897,0.322631836
0.341,3.71E-01,3.82E-01,3.60E-01,0.366691798,0.346686721,0.341668725
0.359,4.04E-01,3.88E-01,3.96E-01,0.37836045,0.376508087,0.384765923
0.393,3.96E-01,4.11E-01,3.93E-01,0.410393059,0.416022301,0.410147548
0.403,4.07E-01,4.24E-01,4.07E-01,0.42000556,0.415447563,0.410546899
0.339,3.59E-01,3.55E-01,3.57E-01,0.349334627,0.350646853,0.340824902
0.404,3.80E-01,3.91E-01,3.94E-01,0.404184103,0.409610718,0.409014642
0.404,3.85E-01,3.94E-01,3.96E-01,0.408696264,0.39993155,0.399736643
0.344,3.92E-01,3.97E-01,3.81E-01,0.368594915,0.357920498,0.351310194
0.4,3.93E-01,3.78E-01,3.92E-01,0.371499479,0.371875405,0.385061651
0.326,3.57E-01,3.48E-01,3.56E-01,0.350298256,0.336875379,0.33480984
0.417,4.05E-01,4.17E-01,4.13E-01,0.415672302,0.419715792,0.422508925
0.384,3.76E-01,3.95E-01,3.82E-01,0.385484785,0.385414481,0.384946644
0.432,4.23E-01,4.29E-01,4.31E-01,0.419798136,0.41268146,0.422486424
0.374,3.57E-01,3.67E-01,3.73E-01,0.367545366,0.372808844,0.376540661
0.315,3.82E-01,3.59E-01,3.43E-01,0.352169842,0.341419071,0.331794649
0.334,3.63E-01,3.87E-01,3.66E-01,0.379470289,0.364843845,0.357343853
0.337,3.85E-01,3.54E-01,3.62E-01,0.352722108,0.348900259,0.343993634
0.329,4.01E-01,3.69E-01,3.69E-01,0.35829851,0.34832558,0.351103961
0.446,3.97E-01,4.24E-01,4.26E-01,0.453822553,0.448915631,0.4528566
0.348,3.47E-01,3.79E-01,3.77E-01,0.359843582,0.353831381,0.358247131
0.37,3.79E-01,3.69E-01,3.73E-01,0.369885921,0.367920697,0.371621132
0.379,3.88E-01,3.87E-01,3.92E-01,0.383884966,0.385112911,0.378508687
0.439,3.93E-01,3.87E-01,4.15E-01,0.419477969,0.418573231,0.43084988
0.317,3.79E-01,3.43E-01,3.55E-01,0.339345098,0.335897624,0.327560127
0.436,4.05E-01,4.31E-01,4.30E-01,0.430955857,0.428970248,0.430815756
0.371,3.91E-01,3.76E-01,3.88E-01,0.372167945,0.371067345,0.370256573
0.429,4.02E-01,3.95E-01,4.19E-01,0.408436984,0.40902099,0.409121275
0.362,3.95E-01,4.14E-01,3.80E-01,0.383579224,0.37364608,0.364456505
0.347,4.09E-01,3.92E-01,3.93E-01,0.374182552,0.364978582,0.360587925
0.357,3.81E-01,3.84E-01,3.67E-01,0.369345665,0.363062859,0.369844317
0.387,3.98E-01,3.89E-01,3.90E-01,0.381451309,0.385639846,0.387829095
0.402,4.02E-01,4.05E-01,4.00E-01,0.406655878,0.394423038,0.391982257
0.468,4.16E-01,4.31E-01,4.57E-01,0.490872413,0.493097126,0.482687473
0.425,4.25E-01,4.25E-01,4.31E-01,0.421528161,0.418458462,0.419621646
0.402,4.09E-01,3.89E-01,3.99E-01,0.407384664,0.401538253,0.399440706
0.445,4.16E-01,4.07E-01,4.30E-01,0.433568448,0.423396438,0.434718966
0.417,4.12E-01,4.21E-01,4.19E-01,0.415304065,0.413563311,0.412410378
0.516,4.26E-01,4.69E-01,4.65E-01,0.499398142,0.505566716,0.513299942
0.307,3.48E-01,3.46E-01,3.51E-01,0.350208074,0.341282189,0.329635054
0.334,3.52E-01,3.49E-01,3.46E-01,0.349900782,0.345865488,0.347842515
0.356,3.83E-01,3.72E-01,3.70E-01,0.358084887,0.355441689,0.353811294
0.434,4.29E-01,4.26E-01,4.27E-01,0.420935541,0.419836134,0.424966514
0.38,3.96E-01,3.78E-01,3.80E-01,0.378213048,0.373619884,0.383142292
0.456,4.04E-01,4.28E-01,4.41E-01,0.455253422,0.436426878,0.446608752
0.392,4.17E-01,3.98E-01,3.91E-01,0.391816199,0.401328593,0.397852778
0.397,3.86E-01,4.02E-01,3.88E-01,0.418248892,0.402306676,0.40232861
0.336,3.66E-01,3.77E-01,3.64E-01,0.360147953,0.357826114,0.346229911
0.304,3.84E-01,3.42E-01,3.43E-01,0.334720761,0.329181224,0.324854672
0.469,4.29E-01,4.08E-01,4.48E-01,0.442275584,0.456826657,0.445728242
